Region,Network,HostMin,HostMax,Broadcast
ALL,10.100.0.0/18,10.100.0.1,10.100.63.254,10.100.63.255
us-east1,10.100.0.0/23,10.100.0.1,10.100.1.254,10.100.1.255
UNASSIGNED,10.100.2.0/23,10.100.2.1,10.100.3.254,10.100.3.255
UNASSIGNED,10.100.4.0/23,10.100.4.1,10.100.5.254,10.100.5.255
UNASSIGNED,10.100.6.0/23,10.100.6.1,10.100.7.254,10.100.7.255
UNASSIGNED,10.100.8.0/23,10.100.8.1,10.100.9.254,10.100.9.255
UNASSIGNED,10.100.10.0/23,10.100.10.1,10.100.11.254,10.100.11.255
UNASSIGNED,10.100.12.0/23,10.100.12.1,10.100.13.254,10.100.13.255
UNASSIGNED,10.100.14.0/23,10.100.14.1,10.100.15.254,10.100.15.255
UNASSIGNED,10.100.16.0/23,10.100.16.1,10.100.17.254,10.100.17.255
UNASSIGNED,10.100.18.0/23,10.100.18.1,10.100.19.254,10.100.19.255
UNASSIGNED,10.100.20.0/23,10.100.20.1,10.100.21.254,10.100.21.255
UNASSIGNED,10.100.22.0/23,10.100.22.1,10.100.23.254,10.100.23.255
UNASSIGNED,10.100.24.0/23,10.100.24.1,10.100.25.254,10.100.25.255
UNASSIGNED,10.100.26.0/23,10.100.26.1,10.100.27.254,10.100.27.255
UNASSIGNED,10.100.28.0/23,10.100.28.1,10.100.29.254,10.100.29.255
UNASSIGNED,10.100.30.0/23,10.100.30.1,10.100.31.254,10.100.31.255
UNASSIGNED,10.100.32.0/23,10.100.32.1,10.100.33.254,10.100.33.255
UNASSIGNED,10.100.34.0/23,10.100.34.1,10.100.35.254,10.100.35.255
UNASSIGNED,10.100.36.0/23,10.100.36.1,10.100.37.254,10.100.37.255
UNASSIGNED,10.100.38.0/23,10.100.38.1,10.100.39.254,10.100.39.255
UNASSIGNED,10.100.40.0/23,10.100.40.1,10.100.41.254,10.100.41.255
UNASSIGNED,10.100.42.0/23,10.100.42.1,10.100.43.254,10.100.43.255
UNASSIGNED,10.100.44.0/23,10.100.44.1,10.100.45.254,10.100.45.255
UNASSIGNED,10.100.46.0/23,10.100.46.1,10.100.47.254,10.100.47.255
UNASSIGNED,10.100.48.0/23,10.100.48.1,10.100.49.254,10.100.49.255
UNASSIGNED,10.100.50.0/23,10.100.50.1,10.100.51.254,10.100.51.255
UNASSIGNED,10.100.52.0/23,10.100.52.1,10.100.53.254,10.100.53.255
UNASSIGNED,10.100.54.0/23,10.100.54.1,10.100.55.254,10.100.55.255
UNASSIGNED,10.100.56.0/23,10.100.56.1,10.100.57.254,10.100.57.255
UNASSIGNED,10.100.58.0/23,10.100.58.1,10.100.59.254,10.100.59.255
UNASSIGNED,10.100.60.0/23,10.100.60.1,10.100.61.254,10.100.61.255
UNASSIGNED,10.100.62.0/23,10.100.62.1,10.100.63.254,10.100.63.255
